oracle_id	oracle_version	ledger_entry	oracle_type	oracle	pass_fail_rule	classification	applicability
OR-0284	1.0.0	0284	anti-requirement	Test public FCB, directory, DMA, result, and persistent data behavior.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0285	1.0.0	0285	positive predicate	Delete a controlled exact name.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0286	1.0.0	0286	positive predicate	Isolate drive and user fixtures.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0287	1.0.0	0287	positive predicate	Delete two matching names while preserving a nonmatch.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0288	1.0.0	0288	positive predicate	Enumerate before and after wildcard deletion.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0289	1.0.0	0289	positive predicate	Treat all four as success, not a deletion count.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0290	1.0.0	0290	positive predicate	Delete a known absent identity.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0291	1.0.0	0291	positive predicate	Search First immediately after Delete.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0292	1.0.0	0292	positive predicate	Delete then create/write on constrained media.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0293	1.0.0	0293	permitted variation	Test available capacity, not exact block numbers.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0294	1.0.0	0294	positive predicate	Delete B while Function 25 remains A.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0295	1.0.0	0295	positive predicate	Compare identical target names in different users.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0296	1.0.0	0296	permitted variation	Applications shall close files before deleting them.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0297	1.0.0	0297	anti-requirement	Test absence and reusable capacity.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0298	1.0.0	0298	positive predicate	Rename a controlled file.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0299	1.0.0	0299	positive predicate	Use distinct exact names.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0300	1.0.0	0300	positive predicate	Perform an explicit B-drive rename.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0301	1.0.0	0301	positive predicate	Rename a multi-extent file and reopen all data.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0302	1.0.0	0302	positive predicate	Accept any documented slot code.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0303	1.0.0	0303	positive predicate	Rename a known absent source.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0304	1.0.0	0304	positive predicate	Search/open both names.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0305	1.0.0	0305	positive predicate	Compare directory fields and read markers.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0306	1.0.0	0306	positive predicate	Search under current and other users.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0307	1.0.0	0307	positive predicate	Rename B while A remains default.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0308	1.0.0	0308	permitted variation	Compatible applications ensure destination absence.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0309	1.0.0	0309	anti-requirement	Certification rejects any claim that generic CP/M promises wildcard Rename; ordinary unambiguous Rename remains required.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	OUTSIDE SCOPE for BetterCP/M CP/M compatibility claims. Generic compatibility and the profiles selected by Investigation 070 do not promise this behavior.
OR-0310	1.0.0	0310	permitted variation	Applications close before rename and reopen afterward.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0311	1.0.0	0311	permitted variation	Programs use search, not slot identity.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0312	1.0.0	0312	anti-requirement	Do not impose CP/M Plus fields.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0313	1.0.0	0313	anti-requirement	Inspect public directory/data only.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0314	1.0.0	0314	profile-gated positive	Profile fault-injects directory operations and checks common operator/recovery behavior.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the Interactive CP/M disk-error profile
OR-0315	1.0.0	0315	permitted variation	Compatible callers use documented encodings.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0316	1.0.0	0316	anti-requirement	Validate enumeration and capacity, not compaction.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0317	1.0.0	0317	positive predicate	Inspect FCB bytes 33-35 as r0-r2.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0318	1.0.0	0318	positive predicate	Verify little-endian encoding across r0-r2.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0319	1.0.0	0319	positive predicate	Exercise records 0 and 65535 and reject nonzero r2.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0320	1.0.0	0320	positive predicate	Compare random fields with sequential working fields across I/O.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0321	1.0.0	0321	positive predicate	Invoke Function 36 with C=24h and DE=FCB.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0322	1.0.0	0322	positive predicate	Set EX/S2/CR and verify the computed r0-r2 value.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0323	1.0.0	0323	positive predicate	Compare CR=128 with the following extent at CR=0.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0324	1.0.0	0324	positive predicate	Verify only FCB random-position state changes.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0325	1.0.0	0325	permitted variation	Do not depend on A after Function 36.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0326	1.0.0	0326	positive predicate	Invoke Function 33 with C=21h and an activated FCB.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0327	1.0.0	0327	positive predicate	Read a known record and compare all 128 DMA bytes.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0328	1.0.0	0328	positive predicate	Verify A=00 on a successful random read.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0329	1.0.0	0329	positive predicate	Address a known random record and inspect EX/S2/CR afterward.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0330	1.0.0	0330	positive predicate	Verify r0-r2 are unchanged after random read.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0331	1.0.0	0331	positive predicate	Read EOF/unallocated data and require nonzero failure.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0332	1.0.0	0332	positive predicate	Read a missing extent and verify code 04 in strict compatibility mode.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0333	1.0.0	0333	positive predicate	Set r2 nonzero for Functions 33/34 and verify code 06.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0334	1.0.0	0334	permitted variation	Do not consume DMA as new data after failed random read.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0335	1.0.0	0335	positive predicate	Invoke Function 34 with C=22h and an activated FCB.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0336	1.0.0	0336	positive predicate	Write a marker record and compare all 128 stored bytes.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0337	1.0.0	0337	positive predicate	Verify A=00 on a successful random write.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0338	1.0.0	0338	positive predicate	Write into missing allocation and verify readable persistence after Close.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0339	1.0.0	0339	positive predicate	Write beyond EOF and verify intervening records remain unwritten.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0340	1.0.0	0340	positive predicate	Write record N beyond EOF, Close, and verify size is at least N+1.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0341	1.0.0	0341	positive predicate	Inspect EX/S2/CR/RC after a controlled random write.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0342	1.0.0	0342	positive predicate	Verify r0-r2 are unchanged after random write.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0343	1.0.0	0343	positive predicate	Write an extent-final record and verify no automatic random-position advance.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0344	1.0.0	0344	positive predicate	Close after random write and verify final metadata persists.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0345	1.0.0	0345	positive predicate	Exhaust directory extent creation and verify code 05.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0346	1.0.0	0346	positive predicate	Exhaust blocks during random write and require 02h.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0347	1.0.0	0347	positive predicate	Invoke Function 35 with C=23h and an unambiguous filename FCB.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0348	1.0.0	0348	positive predicate	Compute size and inspect r0-r2.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0349	1.0.0	0349	positive predicate	Compare returned value with the file’s 128-byte record count.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0350	1.0.0	0350	positive predicate	Create a 65536-record virtual size and verify 00 00 01.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0351	1.0.0	0351	positive predicate	Create a sparse file and verify highest written record plus one.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0352	1.0.0	0352	permitted variation	Do not depend on A after Function 35.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0353	1.0.0	0353	anti-requirement	Test public random-I/O behavior, not DRI private machinery.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0354	1.0.0	0354	profile-gated positive	Profile injects random read/write faults separately from logical random codes.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the Interactive CP/M disk-error profile
OR-0355	1.0.0	0355	anti-requirement	Compare sparse virtual size with actual allocated capacity.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0356	1.0.0	0356	positive predicate	Inspect byte 9 bit 7 in controlled FCB and directory entries.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0357	1.0.0	0357	positive predicate	Inspect byte 10 bit 7 in controlled FCB and directory entries.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0358	1.0.0	0358	positive predicate	Set attribute bits and verify the low seven type-character bits remain intact.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0359	1.0.0	0359	permitted variation	Do not depend on byte 11 bit 7 for an application-defined CP/M 2.2 meaning.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0360	1.0.0	0360	positive predicate	Invoke Function 30 with C=1Eh and DE addressing an unambiguous FCB.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0361	1.0.0	0361	positive predicate	Set and clear t1’/t2’ and verify the requested indicators persist.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0362	1.0.0	0362	positive predicate	Apply Function 30 to a multi-extent file and verify every extent changes.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0363	1.0.0	0363	positive predicate	Change attributes on existing files occupying slots 0-3 and verify A=00-03.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0364	1.0.0	0364	positive predicate	Apply Function 30 to a missing file and require FFh.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0365	1.0.0	0365	permitted variation	Do not require a particular successful 00-03 slot across directory layouts.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0366	1.0.0	0366	positive predicate	Open an attributed file and verify its indicator bits appear in the activated FCB.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0367	1.0.0	0367	positive predicate	Make a file with supplied t1’/t2’ bits and verify them in the new entry.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0368	1.0.0	0368	positive predicate	Attempt sequential write to a read-only file and verify no mutation occurs.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0369	1.0.0	0369	positive predicate	Attempt random write to a read-only file and verify no mutation occurs.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0370	1.0.0	0370	positive predicate	Attempt delete of a read-only file and verify no mutation occurs.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0371	1.0.0	0371	positive predicate	Attempt rename of a read-only file and verify no mutation occurs.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0372	1.0.0	0372	permitted variation	Do not require a normal A result after a protected mutation.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0373	1.0.0	0373	positive predicate	Invoke Function 28 with C=1Ch and verify the current disk becomes protected.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0374	1.0.0	0374	positive predicate	Compare disk image state before and after Function 28 and require no attribute change.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0375	1.0.0	0375	positive predicate	Invoke Function 29 with C=1Dh and inspect the returned HL vector.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0376	1.0.0	0376	positive predicate	Protect controlled drives and verify A-P map to vector bits 0-15.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0377	1.0.0	0377	positive predicate	Protect the current drive and verify its Function 29 vector bit is set.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0378	1.0.0	0378	positive predicate	Set software protection, call Function 13, and verify the vector is cleared.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0379	1.0.0	0379	positive predicate	Protect a disk, attempt Make, and verify no mutation occurs.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0380	1.0.0	0380	positive predicate	Protect a disk, attempt sequential write, and verify no mutation occurs.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0381	1.0.0	0381	positive predicate	Protect a disk, attempt random write, and verify no mutation occurs.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0382	1.0.0	0382	positive predicate	Protect a disk, attempt delete, and verify no mutation occurs.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0383	1.0.0	0383	positive predicate	Protect a disk, attempt rename, and verify no mutation occurs.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0384	1.0.0	0384	positive predicate	Compare pre/post images for rejected protected operations and require no mutation.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0385	1.0.0	0385	profile-gated positive	Profile verifies nonreturn, response handling, restart, and subsequent usable service.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the Interactive DRI protection-error profile
OR-0386	1.0.0	0386	anti-requirement	Test public protection behavior without requiring DRI private handler machinery.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0387	1.0.0	0387	profile-gated positive	Exact capitalization/spacing tests activate only for the diagnostic profile.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the DRI diagnostic-presentation profile
OR-0388	1.0.0	0388	permitted variation	Dirty an FCB before a late read-only attribute change and verify Close behavior separately.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0389	1.0.0	0389	profile-gated positive	A declared removable-media profile must supply deterministic change detection/protection tests.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the Removable-media/hardware profile
OR-0390	1.0.0	0390	positive predicate	Force BIOS READ success/failure and verify zero/nonzero status at the BIOS boundary.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0391	1.0.0	0391	positive predicate	Force BIOS WRITE success/failure and verify zero/nonzero status at the BIOS boundary.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0392	1.0.0	0392	positive predicate	Inject recoverable physical errors and verify BIOS retry policy before permanent failure.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0393	1.0.0	0393	positive predicate	Compare logical BDOS failures with physical BIOS failures and keep the result namespaces distinct.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0394	1.0.0	0394	positive predicate	Force a nonrecoverable disk-I/O failure and verify entry to the Bad Sector operator path.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0395	1.0.0	0395	positive predicate	At Bad Sector presentation, choose ignore and verify continuation of the interrupted BDOS path.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0396	1.0.0	0396	positive predicate	At Bad Sector presentation, enter control-C and verify the interrupted operation aborts.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0397	1.0.0	0397	positive predicate	Diagnose post-abort restart destination and state pending BetterCP/M policy.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0398	1.0.0	0398	permitted variation	Ignore a forced physical failure and do not treat a normal-looking BDOS result as transfer proof.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0399	1.0.0	0399	permitted variation	Ignore a forced physical read failure and verify DMA is not accepted as valid new data.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0400	1.0.0	0400	permitted variation	Ignore a forced physical write failure and verify the returned result is not treated as persistence proof.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0401	1.0.0	0401	permitted variation	Ignore a forced Make directory-write failure and verify the returned directory code is not persistence proof.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0402	1.0.0	0402	permitted variation	Ignore a forced Close directory-write failure and verify the returned directory code is not persistence proof.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0403	1.0.0	0403	permitted variation	Do not require failed physical writes to be atomic or leave media wholly unchanged.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0404	1.0.0	0404	positive predicate	Exercise successful read and logical EOF separately from forced physical read failure.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0405	1.0.0	0405	positive predicate	Exercise successful write and disk-full failure separately from forced physical write failure.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0406	1.0.0	0406	positive predicate	Exercise codes 01/03/04/06 as logical Function 33 conditions, not controller failures.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0407	1.0.0	0407	positive predicate	Exercise Function 34 logical codes including 05 separately from physical write failure.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0408	1.0.0	0408	positive predicate	Exercise documented directory results separately from forced physical controller failure.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0409	1.0.0	0409	anti-requirement	Test public permanent-error behavior without requiring DRI private handler internals.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0410	1.0.0	0410	anti-requirement	Do not require z80pack controller values or the investigation-only fault-injection port.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0411	1.0.0	0411	profile-gated positive	Profile performs byte-exact comparison; baseline checks semantic operator path.	Observed behavior must satisfy the proposition oracle under the selected named profile.	PROFILE REQUIRED	the DRI diagnostic-presentation profile
OR-0412	1.0.0	0412	permitted variation	Require CR ignore and Ctrl-C abort; do not certify other key acceptance.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0413	1.0.0	0413	optional-feature isolation	Extension tests must prove opt-in isolation and unchanged baseline/profile behavior.	The case is NOT APPLICABLE unless the optional feature is claimed; when claimed, its declared behavior must be verified without changing baseline semantics.	OPTIONAL	the Headless/structured-error extension. Generic BetterCP/M CP/M 2.2 compatibility does not require this feature
OR-0414	1.0.0	0414	positive predicate	Invoke Function 12 and verify HL=0022h.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0415	1.0.0	0415	positive predicate	Query controlled user selections and verify A contains the current user number.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0416	1.0.0	0416	positive predicate	Select representative E values and verify the resulting current user number modulo 32.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0417	1.0.0	0417	permitted variation	Do not require a particular return value from the set form of Function 32.	The candidate passes when it does not claim the incidental behavior as a portable guarantee and remains within any explicitly stated accepted set.	NOT GUARANTEED	generic CP/M 2.2 baseline
OR-0418	1.0.0	0418	positive predicate	Protect the current DMA buffer with sentinels across each console function and verify it remains unchanged.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0419	1.0.0	0419	positive predicate	Select an alternate DMA address, invoke console and identity calls, then verify a disk transfer still uses that address.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0420	1.0.0	0420	positive predicate	Set DMA separately from the Function-10 DE buffer and verify input is stored only through the supplied DE buffer.	Observed behavior must satisfy the proposition oracle for every baseline campaign.	REQUIRED	generic CP/M 2.2 baseline
OR-0421	1.0.0	0421	anti-requirement	Test externally visible input and status behavior without requiring DRI private storage or BIOS-call sequencing.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0422	1.0.0	0422	anti-requirement	Do not require DRI’s undocumented E=FEh behavior.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
OR-0423	1.0.0	0423	anti-requirement	BetterCP/M compatibility tests must not require Function 34 to perform Compute File Size semantics.	The framework must not require equality with this behavior; testing may only verify that no baseline assertion depends on it.	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim
