ledger_entry	case_id	case_version	oracle_id	oracle_version	parent_test_id	executable	module_case	requirement	classification	applicability	rc1_dependencies	selected_profile_ids	safety_class	required_fixture	implementation_status	proposed_reuse
0305	BDOS-FILE-007-P0305	1.0.0	OR-0305	1.0.0	BDOS-FILE-007	DIRTEST.COM	DIR-030	Rename data preservation	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0306	BDOS-FILE-008-P0306	1.0.0	OR-0306	1.0.0	BDOS-FILE-008	DIRTEST.COM	DIR-031	Rename user preservation	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0307	BDOS-FILE-009-P0307	1.0.0	OR-0307	1.0.0	BDOS-FILE-009	DIRTEST.COM	DIR-032	Explicit-drive Rename	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0308	BDOS-FILE-006-P0308	1.0.0	OR-0308	1.0.0	BDOS-FILE-006	DIRTEST.COM	DIR-033	Destination collision	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0309	BDOS-FILE-007-P0309	1.0.0	OR-0309	1.0.0	BDOS-FILE-007	DIRTEST.COM	DIR-034	Wildcard Rename	OUTSIDE SCOPE	OUTSIDE SCOPE for BetterCP/M CP/M compatibility claims. Generic compatibility and the profiles selected by Investigation 070 do not promise this behavior.	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0310	BDOS-FILE-008-P0310	1.0.0	OR-0310	1.0.0	BDOS-FILE-008	DIRTEST.COM	DIR-035	Open FCB after Rename	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0311	BDOS-FILE-009-P0311	1.0.0	OR-0311	1.0.0	BDOS-FILE-009	DIRTEST.COM	DIR-036	Physical directory order	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0312	BDOS-FILE-006-P0312	1.0.0	OR-0312	1.0.0	BDOS-FILE-006	DIRTEST.COM	DIR-037	Timestamp preservation	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0313	BDOS-FILE-007-P0313	1.0.0	OR-0313	1.0.0	BDOS-FILE-007	DIRTEST.COM	DIR-038	DRI in-place rename algorithm	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0314	BDOS-FILE-008-P0314	1.0.0	OR-0314	1.0.0	BDOS-FILE-008	ERRTEST.COM	ERR-003	Delete/Rename physical errors	PROFILE REQUIRED	the Interactive CP/M disk-error profile	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM-DISKERR-INT	FAULT_ASSISTED	fault provider or restorable emulator image	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0315	BDOS-FILE-009-P0315	1.0.0	OR-0315	1.0.0	BDOS-FILE-009	DIRTEST.COM	DIR-039	Invalid drive ambiguity	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0316	BDOS-FILE-006-P0316	1.0.0	OR-0316	1.0.0	BDOS-FILE-006	DIRTEST.COM	DIR-040	Directory compaction	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0317	BDOS-FILE-007-P0317	1.0.0	OR-0317	1.0.0	BDOS-FILE-007	RANDTEST.COM	FIL-094	Random field location	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0318	BDOS-FILE-008-P0318	1.0.0	OR-0318	1.0.0	BDOS-FILE-008	RANDTEST.COM	FIL-095	Random field byte order	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0319	BDOS-FILE-009-P0319	1.0.0	OR-0319	1.0.0	BDOS-FILE-009	RANDTEST.COM	FIL-096	CP/M 2.2 random range	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0320	BDOS-FILE-006-P0320	1.0.0	OR-0320	1.0.0	BDOS-FILE-006	RANDTEST.COM	FIL-097	Random/sequential state distinction	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0321	BDOS-FILE-007-P0321	1.0.0	OR-0321	1.0.0	BDOS-FILE-007	RANDTEST.COM	FIL-098	Function 36 convention	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0322	BDOS-FILE-008-P0322	1.0.0	OR-0322	1.0.0	BDOS-FILE-008	RANDTEST.COM	FIL-099	Function 36 direction	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0323	BDOS-FILE-009-P0323	1.0.0	OR-0323	1.0.0	BDOS-FILE-009	RANDTEST.COM	FIL-100	Function 36 boundary equivalence	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0324	BDOS-FILE-006-P0324	1.0.0	OR-0324	1.0.0	BDOS-FILE-006	RANDTEST.COM	FIL-101	Function 36 no I/O	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0325	BDOS-FILE-007-P0325	1.0.0	OR-0325	1.0.0	BDOS-FILE-007	RANDTEST.COM	FIL-102	Function 36 A value	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0326	BDOS-FILE-008-P0326	1.0.0	OR-0326	1.0.0	BDOS-FILE-008	RANDTEST.COM	FIL-103	Function 33 convention	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0327	BDOS-FILE-009-P0327	1.0.0	OR-0327	1.0.0	BDOS-FILE-009	RANDTEST.COM	FIL-104	Random read destination	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0328	BDOS-FILE-006-P0328	1.0.0	OR-0328	1.0.0	BDOS-FILE-006	RANDTEST.COM	FIL-105	Random read success	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0329	BDOS-FILE-007-P0329	1.0.0	OR-0329	1.0.0	BDOS-FILE-007	RANDTEST.COM	FIL-106	Random read position	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0330	BDOS-FILE-008-P0330	1.0.0	OR-0330	1.0.0	BDOS-FILE-008	RANDTEST.COM	FIL-107	Random read no advance	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0331	BDOS-FILE-009-P0331	1.0.0	OR-0331	1.0.0	BDOS-FILE-009	RANDTEST.COM	FIL-108	Random read unwritten data	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0332	BDOS-FILE-006-P0332	1.0.0	OR-0332	1.0.0	BDOS-FILE-006	RANDTEST.COM	FIL-109	Random read missing extent	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0333	BDOS-FILE-007-P0333	1.0.0	OR-0333	1.0.0	BDOS-FILE-007	RANDTEST.COM	FIL-110	Random overflow	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0334	BDOS-FILE-008-P0334	1.0.0	OR-0334	1.0.0	BDOS-FILE-008	RANDTEST.COM	FIL-111	DMA after failed random read	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0335	BDOS-FILE-009-P0335	1.0.0	OR-0335	1.0.0	BDOS-FILE-009	RANDTEST.COM	FIL-112	Function 34 convention	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0336	BDOS-FILE-006-P0336	1.0.0	OR-0336	1.0.0	BDOS-FILE-006	RANDTEST.COM	FIL-113	Random write transfer	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0337	BDOS-FILE-007-P0337	1.0.0	OR-0337	1.0.0	BDOS-FILE-007	RANDTEST.COM	FIL-114	Random write success	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0338	BDOS-FILE-008-P0338	1.0.0	OR-0338	1.0.0	BDOS-FILE-008	RANDTEST.COM	FIL-115	Random write allocation	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	SCRATCH_DESTRUCTIVE	dedicated restorable scratch disk	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0339	BDOS-FILE-009-P0339	1.0.0	OR-0339	1.0.0	BDOS-FILE-009	RANDTEST.COM	FIL-116	Random write holes	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0340	BDOS-FILE-006-P0340	1.0.0	OR-0340	1.0.0	BDOS-FILE-006	RANDTEST.COM	FIL-117	Random write virtual length	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0341	BDOS-FILE-007-P0341	1.0.0	OR-0341	1.0.0	BDOS-FILE-007	RANDTEST.COM	FIL-118	Random write working fields	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0342	BDOS-FILE-008-P0342	1.0.0	OR-0342	1.0.0	BDOS-FILE-008	RANDTEST.COM	FIL-119	Random write no advance	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0343	BDOS-FILE-009-P0343	1.0.0	OR-0343	1.0.0	BDOS-FILE-009	RANDTEST.COM	FIL-120	No automatic random extent switch	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0344	BDOS-FILE-006-P0344	1.0.0	OR-0344	1.0.0	BDOS-FILE-006	RANDTEST.COM	FIL-121	Random write Close	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0345	BDOS-FILE-007-P0345	1.0.0	OR-0345	1.0.0	BDOS-FILE-007	RANDTEST.COM	FIL-122	Random write extent failure	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0346	BDOS-FILE-008-P0346	1.0.0	OR-0346	1.0.0	BDOS-FILE-008	RANDTEST.COM	FIL-123	Allocation-full exact code	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	SCRATCH_DESTRUCTIVE	dedicated restorable scratch disk	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0347	BDOS-FILE-009-P0347	1.0.0	OR-0347	1.0.0	BDOS-FILE-009	RANDTEST.COM	FIL-124	Function 35 convention	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0348	BDOS-FILE-006-P0348	1.0.0	OR-0348	1.0.0	BDOS-FILE-006	RANDTEST.COM	FIL-125	Function 35 result location	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0349	BDOS-FILE-007-P0349	1.0.0	OR-0349	1.0.0	BDOS-FILE-007	RANDTEST.COM	FIL-126	Function 35 unit	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0350	BDOS-FILE-008-P0350	1.0.0	OR-0350	1.0.0	BDOS-FILE-008	RANDTEST.COM	FIL-127	Function 35 maximum	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0351	BDOS-FILE-009-P0351	1.0.0	OR-0351	1.0.0	BDOS-FILE-009	RANDTEST.COM	FIL-128	Sparse virtual size	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0352	BDOS-FILE-006-P0352	1.0.0	OR-0352	1.0.0	BDOS-FILE-006	RANDTEST.COM	FIL-129	Function 35 A value	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0353	BDOS-FILE-007-P0353	1.0.0	OR-0353	1.0.0	BDOS-FILE-007	RANDTEST.COM	FIL-130	DRI random seek machinery	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0354	BDOS-FILE-008-P0354	1.0.0	OR-0354	1.0.0	BDOS-FILE-008	ERRTEST.COM	ERR-004	Physical random-I/O errors	PROFILE REQUIRED	the Interactive CP/M disk-error profile	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM-DISKERR-INT	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0355	BDOS-FILE-009-P0355	1.0.0	OR-0355	1.0.0	BDOS-FILE-009	DISKTEST.COM	DIS-007	Physical allocation equals virtual size	OUTSIDE SCOPE	generic CP/M 2.2 compatibility claim	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	SCRATCH_DESTRUCTIVE	dedicated restorable scratch disk	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0356	BDOS-FILE-006-P0356	1.0.0	OR-0356	1.0.0	BDOS-FILE-006	DIRTEST.COM	DIR-041	Read-only attribute location	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	SCRATCH_DESTRUCTIVE	dedicated restorable scratch disk	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0357	BDOS-FILE-007-P0357	1.0.0	OR-0357	1.0.0	BDOS-FILE-007	DIRTEST.COM	DIR-042	System attribute location	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0358	BDOS-FILE-008-P0358	1.0.0	OR-0358	1.0.0	BDOS-FILE-008	DIRTEST.COM	DIR-043	Attribute/type coexistence	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0359	BDOS-FILE-009-P0359	1.0.0	OR-0359	1.0.0	BDOS-FILE-009	DIRTEST.COM	DIR-044	Reserved t3’	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0360	BDOS-FILE-006-P0360	1.0.0	OR-0360	1.0.0	BDOS-FILE-006	DIRTEST.COM	DIR-045	Function 30 convention	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0361	BDOS-FILE-007-P0361	1.0.0	OR-0361	1.0.0	BDOS-FILE-007	DIRTEST.COM	DIR-046	Function 30 set/clear	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0362	BDOS-FILE-008-P0362	1.0.0	OR-0362	1.0.0	BDOS-FILE-008	DIRTEST.COM	DIR-047	Function 30 all extents	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0363	BDOS-FILE-009-P0363	1.0.0	OR-0363	1.0.0	BDOS-FILE-009	DIRTEST.COM	DIR-048	Function 30 success result	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0364	BDOS-FILE-006-P0364	1.0.0	OR-0364	1.0.0	BDOS-FILE-006	DIRTEST.COM	DIR-049	Function 30 no-match result	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0365	BDOS-FILE-007-P0365	1.0.0	OR-0365	1.0.0	BDOS-FILE-007	DIRTEST.COM	DIR-050	Function 30 exact success slot	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0366	BDOS-FILE-008-P0366	1.0.0	OR-0366	1.0.0	BDOS-FILE-008	DIRTEST.COM	DIR-051	Open preserves indicators	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0367	BDOS-FILE-009-P0367	1.0.0	OR-0367	1.0.0	BDOS-FILE-009	DIRTEST.COM	DIR-052	Make accepts indicators	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0368	BDOS-FILE-006-P0368	1.0.0	OR-0368	1.0.0	BDOS-FILE-006	RANDTEST.COM	FIL-131	File read-only sequential protection	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	SCRATCH_DESTRUCTIVE	dedicated restorable scratch disk	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0369	BDOS-FILE-007-P0369	1.0.0	OR-0369	1.0.0	BDOS-FILE-007	RANDTEST.COM	FIL-132	File read-only random protection	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	SCRATCH_DESTRUCTIVE	dedicated restorable scratch disk	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0370	BDOS-FILE-008-P0370	1.0.0	OR-0370	1.0.0	BDOS-FILE-008	DIRTEST.COM	DIR-053	File read-only delete protection	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	SCRATCH_DESTRUCTIVE	dedicated restorable scratch disk	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0371	BDOS-FILE-009-P0371	1.0.0	OR-0371	1.0.0	BDOS-FILE-009	DIRTEST.COM	DIR-054	File read-only rename protection	REQUIRED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	SCRATCH_DESTRUCTIVE	dedicated restorable scratch disk	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
0372	BDOS-FILE-006-P0372	1.0.0	OR-0372	1.0.0	BDOS-FILE-006	RANDTEST.COM	FIL-133	Protected-operation normal result	NOT GUARANTEED	generic CP/M 2.2 baseline	BDOS-CALL-001; BDOS-STATE-003; BIOS-004/006 as applicable	CPM22-BASE	TEMP_FILES	designated writable scratch drive and reserved filenames	INVENTORIED_NOT_IMPLEMENTED	REVIEW_REQUIRED
